대여일자,개포동,논현동,대치동,도곡동,삼성동,세곡동,수서동,신사동,압구정동,양재동,역삼동,율현동,일원동,자곡동,청담동
"""2022-01-01""",369,42,106,47,190,24,40,39,28,20,96,24,41,40,24
"""2022-01-02""",293,39,123,65,56,22,48,44,30,15,106,23,51,33,17
"""2022-01-03""",808,92,196,153,309,17,82,83,37,44,292,33,76,76,69
"""2022-01-04""",497,128,200,155,354,14,92,99,46,28,291,37,72,77,64
"""2022-01-05""",1049,98,214,146,490,19,97,104,47,43,291,31,91,69,66
"""2022-01-06""",859,109,220,158,454,16,92,106,54,36,317,35,81,71,75
"""2022-01-07""",974,128,248,142,475,24,102,155,61,44,326,34,77,81,66
"""2022-01-08""",551,100,209,106,331,12,73,76,69,29,184,32,79,62,41
"""2022-01-09""",404,52,161,84,158,17,50,59,49,27,155,27,68,52,29
"""2022-01-10""",928,114,210,136,457,17,100,103,56,43,311,32,84,68,44
"""2022-01-11""",447,64,154,96,291,16,59,48,27,27,202,17,51,40,39
"""2022-01-12""",714,76,184,102,450,11,55,81,27,26,215,33,69,48,40
"""2022-01-13""",621,68,186,106,362,8,62,67,37,31,212,31,50,50,46
"""2022-01-14""",617,84,171,102,463,21,81,117,34,32,253,27,60,57,44
"""2022-01-15""",554,57,218,99,392,22,54,95,55,34,174,32,62,63,58
"""2022-01-16""",447,44,101,72,175,17,52,45,30,34,109,35,67,39,20
"""2022-01-17""",675,68,116,99,163,6,61,49,25,32,196,36,53,36,28
"""2022-01-18""",495,81,172,112,221,9,73,90,45,25,264,23,63,58,36
"""2022-01-19""",469,42,90,47,281,7,43,45,12,22,137,11,35,33,25
"""2022-01-20""",761,82,166,120,599,6,49,99,55,30,229,24,57,42,44
"""2022-01-21""",828,120,189,136,456,15,84,111,45,29,268,34,63,58,51
"""2022-01-22""",470,75,217,102,430,23,60,110,58,17,223,38,67,61,33
"""2022-01-23""",557,80,156,105,390,13,68,66,79,21,156,38,66,52,31
"""2022-01-24""",646,149,225,167,594,29,116,121,71,51,363,42,99,71,67
"""2022-01-25""",718,89,198,142,494,21,79,97,41,45,278,27,56,63,47
"""2022-01-26""",1048,133,238,158,676,25,102,120,69,53,357,55,87,89,49
"""2022-01-27""",1088,126,202,154,484,32,84,107,66,53,328,37,90,78,60
"""2022-01-28""",1026,112,223,146,501,13,87,133,49,40,288,37,85,65,56
"""2022-01-29""",315,57,158,88,129,14,57,69,49,30,138,21,63,54,35
"""2022-01-30""",228,47,118,94,280,16,48,38,63,20,148,23,48,35,24
"""2022-01-31""",417,46,104,77,124,17,44,48,48,16,103,27,55,39,32
"""2022-02-01""",58,29,71,37,310,7,20,21,24,10,39,11,36,26,13
"""2022-02-02""",349,52,124,83,429,20,56,42,45,24,101,23,69,45,33
"""2022-02-03""",619,99,202,114,470,16,74,87,42,27,259,38,66,57,43
"""2022-02-04""",885,100,171,137,505,18,79,101,25,17,266,33,73,63,45
