대여일자,가락동,거여동,마천동,문정동,방이동,삼전동,석촌동,송파동,신천동,오금동,잠실동,장지동,풍납동
"""2022-01-01""",311,149,66,250,417,48,73,155,366,130,505,176,157
"""2022-01-02""",269,135,54,254,282,34,87,148,374,126,416,163,122
"""2022-01-03""",886,252,74,573,512,57,129,267,630,242,721,254,290
"""2022-01-04""",910,236,101,615,543,80,157,286,614,254,794,332,327
"""2022-01-05""",963,258,85,619,570,85,167,300,652,239,811,320,339
"""2022-01-06""",848,285,88,630,609,79,175,304,724,282,850,339,373
"""2022-01-07""",998,289,96,617,592,65,175,350,749,274,888,341,361
"""2022-01-08""",553,218,81,373,490,69,140,308,567,221,767,268,211
"""2022-01-09""",762,165,67,341,444,69,116,215,493,181,665,233,207
"""2022-01-10""",970,266,86,675,599,86,183,312,739,237,873,280,344
"""2022-01-11""",533,201,50,407,403,51,124,229,477,183,573,233,256
"""2022-01-12""",709,223,72,502,432,61,128,265,529,199,593,289,270
"""2022-01-13""",651,215,73,477,433,60,139,249,501,205,596,232,257
"""2022-01-14""",968,229,75,552,509,67,168,316,647,200,741,319,297
"""2022-01-15""",758,215,83,379,468,61,160,237,497,201,697,267,209
"""2022-01-16""",532,168,52,311,356,49,92,191,386,161,545,184,199
"""2022-01-17""",606,171,50,412,382,52,136,202,447,169,532,248,199
"""2022-01-18""",831,237,78,559,451,51,149,245,557,192,623,296,271
"""2022-01-19""",346,144,32,290,216,34,86,152,320,114,388,163,168
"""2022-01-20""",687,155,55,398,362,52,110,246,497,172,578,216,221
"""2022-01-21""",801,222,75,535,469,79,165,251,609,201,713,284,282
"""2022-01-22""",613,194,69,392,476,59,160,225,537,190,761,279,232
"""2022-01-23""",495,218,66,346,496,60,140,269,515,187,763,257,215
"""2022-01-24""",891,300,88,717,679,68,192,347,807,286,929,357,353
"""2022-01-25""",637,248,65,512,446,54,168,241,516,192,658,291,240
"""2022-01-26""",1063,303,110,610,642,72,183,332,745,279,923,355,329
"""2022-01-27""",845,259,81,583,623,75,193,300,733,232,863,343,307
"""2022-01-28""",854,247,91,528,557,75,202,325,703,228,776,336,365
"""2022-01-29""",475,186,92,299,380,67,120,202,473,225,708,255,207
"""2022-01-30""",418,138,68,270,384,41,85,180,380,168,589,187,201
"""2022-01-31""",289,137,65,268,359,44,70,120,376,140,522,184,174
"""2022-02-01""",304,66,29,138,168,22,36,67,234,100,250,95,94
"""2022-02-02""",364,140,60,274,387,40,80,170,393,141,501,152,171
"""2022-02-03""",665,234,75,519,472,67,164,249,596,228,676,255,247
"""2022-02-04""",753,197,91,487,480,59,155,248,547,215,650,251,249
"""2022-02-05""",271,160,61,304,332,50,114,176,377,163,515,178,166
"""2022-02-06""",426,155,56,285,349,35,93,164,377,144,523,179,161
"""2022-02-07""",719,215,90,566,558,63,171,254,652,233,732,292,278
"""2022-02-08""",1044,242,98,615,619,94,203,316,709,262,804,322,308
"""2022-02-09""",1069,298,109,688,657,94,207,340,687,266,871,342,376
"""2022-02-10""",1067,304,115,683,729,100,192,370,772,324,1000,361,382
"""2022-02-11""",1031,322,105,717,687,89,197,385,816,292,1022,355,347
"""2022-02-12""",790,292,111,525,772,81,205,341,760,304,1074,326,270
"""2022-02-13""",506,247,88,457,697,63,152,313,667,234,958,279,273
"""2022-02-14""",994,199,73,518,522,75,150,228,536,260,645,273,258
"""2022-02-15""",754,211,88,538,475,67,166,234,565,223,727,275,286
"""2022-02-16""",980,192,85,464,441,52,150,200,445,189,612,296,246
"""2022-02-17""",579,208,85,523,489,58,131,258,545,203,710,264,273
"""2022-02-18""",821,224,98,608,588,92,174,338,727,240,847,342,345
"""2022-02-19""",445,211,91,348,490,77,166,228,512,217,750,227,256
"""2022-02-20""",424,132,47,296,349,45,114,169,368,137,480,188,154
"""2022-02-21""",876,220,73,550,480,71,144,237,637,226,677,256,281
"""2022-02-22""",672,213,62,542,453,72,145,238,555,221,728,281,303
"""2022-02-23""",766,224,78,532,448,67,144,242,532,236,656,262,278
"""2022-02-24""",841,248,87,564,562,62,174,283,623,234,838,268,288
"""2022-02-25""",1046,268,106,651,626,78,178,338,738,313,976,316,362
"""2022-02-26""",647,156,76,347,447,55,144,219,429,177,666,222,239
"""2022-02-27""",634,252,104,469,788,78,140,281,689,245,933,316,259
