대여일자,구로동,당산동,당산동1가,당산동2가,당산동3가,당산동4가,당산동5가,당산동6가,대림동,도림동,문래동3가,문래동4가,문래동5가,문래동6가,신길동,양평동1가,양평동2가,양평동3가,양평동4가,양평동5가,양화동,여의도동,영등포동,영등포동1가,영등포동2가,영등포동4가,영등포동7가,영등포동8가
"""2022-01-01""",13,27,15,13,71,106,64,48,107,71,83,22,28,85,182,45,60,62,47,16,23,367,106,27,7,96,86,60
"""2022-01-02""",17,45,11,8,72,104,57,33,97,79,90,19,30,72,222,57,44,95,47,15,19,328,113,48,10,97,82,78
"""2022-01-03""",22,48,20,26,216,232,169,41,170,131,188,66,62,167,347,120,94,169,73,70,25,1101,184,86,33,139,107,107
"""2022-01-04""",19,83,29,35,212,226,146,47,175,150,212,62,69,192,368,126,105,188,77,60,33,1066,176,81,34,116,113,107
"""2022-01-05""",16,77,33,25,191,232,167,51,178,174,233,56,55,191,402,118,86,169,66,60,22,1185,192,80,32,144,128,123
"""2022-01-06""",23,85,26,33,198,262,162,42,177,156,224,54,75,197,402,117,108,196,74,57,22,1210,190,84,36,143,140,113
"""2022-01-07""",23,82,32,38,220,248,164,53,179,155,248,64,70,178,400,116,110,197,62,50,27,1155,224,91,35,142,158,144
"""2022-01-08""",19,76,19,25,130,152,135,43,150,138,141,27,41,126,301,70,84,140,65,46,29,604,181,62,19,163,104,99
"""2022-01-09""",25,48,20,19,108,107,106,47,115,117,112,21,28,90,274,71,56,81,63,26,27,575,150,36,21,104,80,82
"""2022-01-10""",26,81,24,34,221,273,163,49,166,174,240,48,82,188,451,127,86,170,77,68,26,1197,184,102,40,143,137,123
"""2022-01-11""",15,66,16,23,155,180,109,26,121,124,140,45,39,119,258,70,91,112,46,37,16,704,132,61,28,90,88,80
"""2022-01-12""",17,57,29,22,165,189,129,32,136,132,186,48,59,137,311,97,64,128,65,44,22,862,150,76,28,107,111,101
"""2022-01-13""",15,70,17,15,149,203,115,31,140,123,146,54,47,140,335,96,84,122,63,38,18,894,141,82,29,100,106,100
"""2022-01-14""",21,88,28,30,186,203,151,38,127,159,178,42,57,162,308,98,104,163,57,48,16,1006,161,76,30,127,130,101
"""2022-01-15""",21,59,23,20,135,141,113,28,119,130,139,33,33,134,301,76,64,125,53,32,22,533,158,64,12,166,101,97
"""2022-01-16""",17,54,11,12,102,112,96,41,109,119,88,23,31,98,250,78,37,92,52,18,20,456,140,41,9,102,77,71
"""2022-01-17""",15,51,15,16,120,165,92,31,90,123,127,38,35,122,277,69,75,102,37,37,15,665,116,73,13,85,117,70
"""2022-01-18""",17,66,27,28,144,200,125,40,133,129,157,36,57,131,288,95,84,138,58,43,22,955,162,70,29,110,94,88
"""2022-01-19""",13,49,16,15,84,139,81,23,92,88,100,28,27,98,222,65,64,70,39,27,11,506,113,52,14,72,75,62
"""2022-01-20""",14,66,22,24,149,182,118,38,154,130,168,45,50,153,291,86,72,154,68,42,12,852,143,47,24,115,108,84
"""2022-01-21""",14,76,33,30,193,187,141,44,165,147,187,56,61,157,353,101,87,161,69,67,26,1109,163,68,27,153,132,109
"""2022-01-22""",14,68,20,24,111,169,112,68,123,131,141,37,33,142,336,86,65,131,70,38,31,637,177,61,13,148,103,79
"""2022-01-23""",23,59,12,21,114,145,108,87,139,141,130,26,38,117,299,53,56,82,77,27,31,759,179,56,15,115,92,75
"""2022-01-24""",23,72,41,29,210,262,172,69,192,172,220,74,79,163,442,126,129,211,89,65,29,1410,220,97,47,157,118,130
"""2022-01-25""",23,78,39,31,175,202,136,69,168,153,160,53,58,166,327,102,99,145,64,56,38,1088,151,78,25,113,108,88
"""2022-01-26""",23,81,34,26,202,257,160,78,191,188,209,74,68,186,460,129,98,196,85,52,34,1373,216,112,43,143,146,130
"""2022-01-27""",18,83,39,32,202,243,137,62,190,187,236,66,70,176,452,120,102,204,75,58,26,1248,197,86,40,143,140,122
"""2022-01-28""",22,83,30,31,198,227,141,57,182,166,189,41,67,153,437,113,95,169,66,47,28,1172,173,79,41,149,114,91
"""2022-01-29""",11,54,20,20,109,125,89,30,108,109,103,30,25,123,252,58,54,103,46,20,30,467,95,58,22,103,81,85
"""2022-01-30""",16,35,8,5,87,103,81,32,107,91,81,24,24,95,192,56,53,75,45,28,18,395,89,29,10,78,58,54
"""2022-01-31""",22,27,14,6,68,69,59,39,92,89,75,16,25,90,216,34,43,57,38,25,24,471,85,39,10,87,43,39
"""2022-02-01""",6,13,5,3,43,51,34,21,61,40,28,7,9,29,111,24,19,22,23,15,10,134,43,15,4,49,26,16
"""2022-02-02""",16,37,13,11,79,107,80,58,97,91,66,26,22,91,204,45,46,68,43,30,24,395,90,30,18,101,61,52
"""2022-02-03""",22,54,19,23,188,210,106,38,148,163,163,46,54,154,327,106,80,149,67,60,24,846,177,63,21,120,101,87
"""2022-02-04""",14,54,34,19,166,193,104,38,131,133,156,43,50,153,354,95,87,141,57,53,30,909,157,63,26,113,102,84
